CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720563962004;-4.153232;0.899378;(-0.072415, 0.015655, 0.997252);VALID
1720563962009;-4.154511;0.914138;(-0.072437, 0.015912, 0.997246);VALID
1720563962014;-4.178720;0.901742;(-0.072859, 0.015696, 0.997219);VALID
1720563962019;-4.170969;0.869636;(-0.072725, 0.015137, 0.997237);VALID
1720563962024;-4.156551;0.863883;(-0.072474, 0.015037, 0.997257);VALID
1720563962029;-4.138584;0.876354;(-0.072161, 0.015255, 0.997276);VALID
1720563962034;-4.104397;0.909438;(-0.071565, 0.015831, 0.997310);VALID
1720563962039;-4.096489;0.897059;(-0.071428, 0.015616, 0.997324);VALID
1720563962044;-4.061626;0.907194;(-0.070821, 0.015793, 0.997364);VALID
1720563962049;-4.052176;0.904389;(-0.070656, 0.015744, 0.997376);VALID
1720563962054;-3.926385;0.845012;(-0.068467, 0.014713, 0.997545);VALID
1720563962059;-3.903828;0.843063;(-0.068075, 0.014680, 0.997572);VALID
1720563962064;-3.869218;0.849506;(-0.067472, 0.014792, 0.997612);VALID
1720563962069;-3.849734;0.842403;(-0.067133, 0.014669, 0.997636);VALID
1720563962074;-3.749373;0.876724;(-0.065385, 0.015268, 0.997743);VALID
1720563962079;-3.724417;0.872547;(-0.064950, 0.015196, 0.997773);VALID
1720563962084;-3.717267;0.872922;(-0.064826, 0.015203, 0.997781);VALID
1720563962089;-3.788771;0.938763;(-0.066070, 0.016348, 0.997681);VALID
1720563962094;-3.741304;0.907560;(-0.065244, 0.015806, 0.997744);VALID
1720563962099;-3.638777;0.837349;(-0.063459, 0.014585, 0.997878);VALID
1720563962104;-3.586395;0.890470;(-0.062546, 0.015511, 0.997922);VALID
1720563962109;-3.515022;0.905598;(-0.061303, 0.015775, 0.997995);VALID
1720563962114;-3.550955;0.869362;(-0.061929, 0.015144, 0.997966);VALID
1720563962119;-3.529264;0.894744;(-0.061551, 0.015586, 0.997982);VALID
1720563962124;-3.490780;0.936882;(-0.060880, 0.016321, 0.998012);VALID
1720563962129;-3.364685;0.922464;(-0.058684, 0.016072, 0.998147);VALID
1720563962134;-3.345413;0.895413;(-0.058348, 0.015601, 0.998174);VALID
1720563962139;-3.311411;0.909699;(-0.057756, 0.015850, 0.998205);VALID
1720563962144;-3.314000;0.862226;(-0.057801, 0.015023, 0.998215);VALID
1720563962149;-3.328036;0.874434;(-0.058046, 0.015235, 0.998198);VALID
1720563962154;-3.283809;0.866574;(-0.057275, 0.015099, 0.998244);VALID
1720563962159;-3.239652;0.860689;(-0.056506, 0.014997, 0.998290);VALID
1720563962164;-3.179561;0.829933;(-0.055460, 0.014462, 0.998356);VALID
1720563962169;-3.145816;0.819796;(-0.054872, 0.014286, 0.998391);VALID
1720563962174;-3.086282;0.827129;(-0.053834, 0.014415, 0.998446);VALID
1720563962179;-3.078817;0.836816;(-0.053704, 0.014584, 0.998450);VALID
1720563962184;-2.988346;0.901912;(-0.052126, 0.015719, 0.998517);VALID
1720563962189;-3.006772;0.855872;(-0.052448, 0.014917, 0.998512);VALID
1720563962194;-2.952171;0.867801;(-0.051496, 0.015125, 0.998559);VALID
1720563962199;-2.914619;0.808229;(-0.050843, 0.014088, 0.998607);VALID
1720563962204;-2.888646;0.766177;(-0.050391, 0.013355, 0.998640);VALID
1720563962209;-2.857380;0.831562;(-0.049845, 0.014495, 0.998652);VALID
1720563962214;-2.857493;0.785050;(-0.049847, 0.013684, 0.998663);VALID
1720563962219;-2.832571;0.767001;(-0.049413, 0.013370, 0.998689);VALID
1720563962224;-2.772716;0.747149;(-0.048370, 0.013025, 0.998745);VALID
1720563962229;-2.757165;0.751167;(-0.048099, 0.013095, 0.998757);VALID
1720563962234;-2.775753;0.742522;(-0.048423, 0.012944, 0.998743);VALID
1720563962239;-2.735416;0.696819;(-0.047720, 0.012148, 0.998787);VALID
1720563962244;-2.733259;0.699703;(-0.047683, 0.012198, 0.998788);VALID
1720563962249;-2.720188;0.685154;(-0.047455, 0.011944, 0.998802);VALID
1720563962254;-2.687075;0.703502;(-0.046878, 0.012265, 0.998825);VALID
1720563962259;-2.676881;0.714844;(-0.046700, 0.012462, 0.998831);VALID
1720563962264;-2.659648;0.708675;(-0.046399, 0.012355, 0.998847);VALID
1720563962269;-2.638603;0.674805;(-0.046033, 0.011765, 0.998871);VALID
1720563962274;-2.622409;0.658291;(-0.045751, 0.011477, 0.998887);VALID
1720563962279;-2.613117;0.660517;(-0.045589, 0.011516, 0.998894);VALID
1720563962284;-2.586844;0.672682;(-0.045131, 0.011728, 0.998912);VALID
1720563962289;-2.577117;0.692748;(-0.044961, 0.012078, 0.998916);VALID
1720563962294;-2.566434;0.688745;(-0.044775, 0.012009, 0.998925);VALID
1720563962299;-2.551659;0.674353;(-0.044517, 0.011758, 0.998940);VALID
1720563962304;-2.516277;0.662861;(-0.043900, 0.011558, 0.998969);VALID
1720563962309;-2.488288;0.722912;(-0.043412, 0.012605, 0.998978);VALID
1720563962314;-2.457759;0.717651;(-0.042879, 0.012514, 0.999002);VALID
1720563962319;-2.437064;0.701498;(-0.042519, 0.012232, 0.999021);VALID
1720563962324;-2.408830;0.706079;(-0.042026, 0.012312, 0.999041);VALID
1720563962329;-2.401141;0.693678;(-0.041892, 0.012096, 0.999049);VALID
1720563962334;-2.385019;0.658499;(-0.041612, 0.011483, 0.999068);VALID
1720563962339;-2.328699;0.592017;(-0.040630, 0.010324, 0.999121);VALID
1720563962344;-2.280259;0.597617;(-0.039785, 0.010422, 0.999154);VALID
1720563962349;-2.271772;0.615152;(-0.039637, 0.010728, 0.999157);VALID
1720563962354;-2.247745;0.685711;(-0.039218, 0.011958, 0.999159);VALID
1720563962359;-2.244980;0.643604;(-0.039170, 0.011224, 0.999170);VALID
1720563962364;-2.246712;0.628253;(-0.039200, 0.010956, 0.999171);VALID
1720563962369;-2.226337;0.641009;(-0.038845, 0.011179, 0.999183);VALID
1720563962374;-2.217040;0.651700;(-0.038682, 0.011366, 0.999187);VALID
1720563962379;-2.192026;0.650243;(-0.038246, 0.011340, 0.999204);VALID
1720563962384;-2.142052;0.721563;(-0.037374, 0.012585, 0.999222);VALID
1720563962389;-2.138817;0.729325;(-0.037318, 0.012720, 0.999223);VALID
1720563962394;-2.112815;0.723843;(-0.036864, 0.012625, 0.999241);VALID
1720563962399;-2.050375;0.691575;(-0.035776, 0.012062, 0.999287);VALID
1720563962404;-1.993808;0.655605;(-0.034789, 0.011435, 0.999329);VALID
1720563962409;-1.974361;0.608554;(-0.034450, 0.010615, 0.999350);VALID
1720563962414;-1.932610;0.527164;(-0.033723, 0.009195, 0.999389);VALID
1720563962419;-1.936920;0.502577;(-0.033798, 0.008766, 0.999390);VALID
1720563962424;-1.948468;0.496331;(-0.033999, 0.008657, 0.999384);VALID
1720563962429;-1.949209;0.445780;(-0.034013, 0.007776, 0.999391);VALID
1720563962434;-1.931293;0.447497;(-0.033700, 0.007806, 0.999402);VALID
1720563962439;-1.946950;0.420381;(-0.033973, 0.007333, 0.999396);VALID
1720563962444;-1.835786;0.328386;(-0.032035, 0.005728, 0.999470);VALID
1720563962449;-1.793564;0.311045;(-0.031298, 0.005426, 0.999495);VALID
1720563962454;-1.769408;0.343635;(-0.030877, 0.005995, 0.999505);VALID
1720563962459;-1.741072;0.358364;(-0.030382, 0.006252, 0.999519);VALID
1720563962464;-1.675299;0.213193;(-0.029235, 0.003719, 0.999566);VALID
1720563962469;-1.599650;0.261441;(-0.027915, 0.004561, 0.999600);VALID
1720563962474;-1.572428;0.294530;(-0.027440, 0.005139, 0.999610);VALID
1720563962479;-1.591256;0.300248;(-0.027769, 0.005238, 0.999601);VALID
1720563962484;-1.595751;0.287807;(-0.027847, 0.005021, 0.999600);VALID
