CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720563264446;-9.016779;0.471530;(-0.156719, 0.008128, 0.987610);VALID
1720563264451;-8.988114;0.384488;(-0.156226, 0.006628, 0.987699);VALID
1720563264456;-9.037116;0.420252;(-0.157070, 0.007244, 0.987561);VALID
1720563264461;-9.014915;0.366932;(-0.156688, 0.006325, 0.987628);VALID
1720563264466;-9.056336;0.406936;(-0.157402, 0.007014, 0.987510);VALID
1720563264471;-9.062690;0.348984;(-0.157512, 0.006015, 0.987499);VALID
1720563264476;-9.076548;0.335152;(-0.157751, 0.005776, 0.987462);VALID
1720563264481;-9.085298;0.369369;(-0.157902, 0.006366, 0.987434);VALID
1720563264486;-9.130390;0.379545;(-0.158678, 0.006540, 0.987309);VALID
1720563264491;-8.852880;0.064340;(-0.153898, 0.001110, 0.988086);VALID
1720563264496;-8.966183;0.530777;(-0.155845, 0.009150, 0.987739);VALID
1720563264501;-8.927053;0.267751;(-0.155175, 0.004617, 0.987876);VALID
1720563264506;-8.922187;0.117196;(-0.155093, 0.002021, 0.987898);VALID
1720563264511;-8.787865;0.010023;(-0.152777, 0.000173, 0.988261);VALID
1720563264516;-8.848936;-0.090715;(-0.153830, -0.001564, 0.988096);VALID
1720563264521;-8.848474;-0.124623;(-0.153822, -0.002149, 0.988096);VALID
1720563264526;-8.796082;-0.096246;(-0.152918, -0.001660, 0.988238);VALID
1720563264531;-8.778415;-0.156607;(-0.152613, -0.002701, 0.988282);VALID
1720563264536;-8.754490;-0.207154;(-0.152200, -0.003573, 0.988343);VALID
1720563264541;-8.739302;-0.363737;(-0.151936, -0.006275, 0.988370);VALID
1720563264546;-8.645467;-0.438688;(-0.150316, -0.007569, 0.988609);VALID
1720563264551;-8.612985;-0.462293;(-0.149755, -0.007977, 0.988691);VALID
1720563264556;-8.573860;-0.602956;(-0.149076, -0.010406, 0.988771);VALID
1720563264561;-8.542021;-0.658911;(-0.148525, -0.011372, 0.988843);VALID
1720563264566;-8.564780;-0.628628;(-0.148919, -0.010849, 0.988790);VALID
1720563264571;-8.505184;-0.672701;(-0.147889, -0.011611, 0.988936);VALID
1720563264576;-8.471929;-0.773773;(-0.147312, -0.013357, 0.989000);VALID
1720563264581;-8.501851;-0.753426;(-0.147829, -0.013005, 0.988927);VALID
1720563264586;-8.480599;-0.778905;(-0.147461, -0.013445, 0.988977);VALID
1720563264591;-8.470210;-0.671905;(-0.147285, -0.011599, 0.989026);VALID
1720563264596;-8.506586;-0.659310;(-0.147914, -0.011380, 0.988935);VALID
1720563264601;-8.702092;-0.747148;(-0.151284, -0.012890, 0.988406);VALID
1720563264606;-8.681447;-0.729191;(-0.150929, -0.012581, 0.988465);VALID
1720563264611;-8.423173;-0.570444;(-0.146476, -0.009849, 0.989165);VALID
1720563264616;-8.558671;-0.658770;(-0.148813, -0.011369, 0.988800);VALID
1720563264621;-8.617711;-0.624227;(-0.149832, -0.010772, 0.988653);VALID
1720563264626;-8.641841;-0.589968;(-0.150250, -0.010180, 0.988596);VALID
1720563264631;-8.536944;-0.520744;(-0.148441, -0.008988, 0.988880);VALID
1720563264636;-8.495075;-0.517767;(-0.147719, -0.008937, 0.988989);VALID
1720563264641;-8.346675;-0.469987;(-0.145158, -0.008116, 0.989375);VALID
1720563264646;-8.428533;-0.489141;(-0.146570, -0.008445, 0.989164);VALID
1720563264651;-8.566556;-0.528102;(-0.148952, -0.009114, 0.988802);VALID
1720563264656;-8.578416;-0.534748;(-0.149157, -0.009229, 0.988771);VALID
1720563264661;-8.526393;-0.564169;(-0.148258, -0.009738, 0.988901);VALID
1720563264666;-8.627890;-0.494223;(-0.150011, -0.008528, 0.988648);VALID
