CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1719958150658;2.963565;1.960773;(0.051671, 0.034170, 0.998079);VALID
1719958150663;2.772513;2.225056;(0.048334, 0.038779, 0.998078);VALID
1719958150668;2.741328;2.245579;(0.047790, 0.039138, 0.998090);VALID
1719958150673;2.648754;2.251059;(0.046177, 0.039236, 0.998162);VALID
1719958150678;2.660434;2.074505;(0.046386, 0.036160, 0.998269);VALID
1719958150683;2.640682;2.216978;(0.046038, 0.038643, 0.998192);VALID
1719958150688;2.812999;2.114302;(0.049043, 0.036849, 0.998117);VALID
1719958150693;2.717431;2.173411;(0.047376, 0.037881, 0.998159);VALID
1719958150698;2.625840;2.294351;(0.045777, 0.039991, 0.998151);VALID
1719958150703;2.751683;2.217567;(0.047972, 0.038650, 0.998101);VALID
1719958150708;2.599665;2.051476;(0.045328, 0.035761, 0.998332);VALID
1719958150713;2.729928;1.865858;(0.047603, 0.032523, 0.998337);VALID
1719958150718;2.711364;1.847922;(0.047280, 0.032211, 0.998362);VALID
1719958150723;2.372714;1.922669;(0.041377, 0.033522, 0.998581);VALID
1719958150728;2.319193;1.751454;(0.040448, 0.030539, 0.998715);VALID
1719958150733;2.526684;1.755516;(0.044064, 0.030605, 0.998560);VALID
1719958150738;2.830852;1.871352;(0.049361, 0.032616, 0.998248);VALID
1719958150743;2.492814;1.694856;(0.043475, 0.029549, 0.998618);VALID
1719958150748;2.478590;1.738403;(0.043226, 0.030308, 0.998606);VALID
1719958150753;2.494420;1.674450;(0.043504, 0.029193, 0.998627);VALID
1719958150758;2.668859;1.713956;(0.046543, 0.029877, 0.998469);VALID
1719958150763;2.555684;1.706569;(0.044571, 0.029751, 0.998563);VALID
1719958150768;2.484497;1.702837;(0.043330, 0.029688, 0.998620);VALID
1719958150773;2.659781;1.839393;(0.046381, 0.032063, 0.998409);VALID
1719958150778;2.741465;1.792798;(0.047806, 0.031249, 0.998368);VALID
1719958150783;2.753442;1.937446;(0.048011, 0.033769, 0.998276);VALID
1719958150788;2.664090;2.122606;(0.046449, 0.036998, 0.998235);VALID
1719958150793;2.673897;2.190404;(0.046617, 0.038179, 0.998183);VALID
1719958150798;2.561216;1.847517;(0.044664, 0.032207, 0.998483);VALID
1719958150803;2.671203;1.710571;(0.046584, 0.029818, 0.998469);VALID
1719958150808;2.758906;1.879341;(0.048108, 0.032757, 0.998305);VALID
1719958150813;2.442703;2.158859;(0.042590, 0.037636, 0.998384);VALID
1719958150818;2.690923;1.632818;(0.046929, 0.028463, 0.998493);VALID
1719958150823;2.541549;1.751021;(0.044323, 0.030526, 0.998551);VALID
1719958150828;2.583072;1.499396;(0.045052, 0.026140, 0.998643);VALID
1719958150833;2.659676;2.147147;(0.046371, 0.037426, 0.998223);VALID
1719958150838;2.726156;2.121035;(0.047530, 0.036969, 0.998186);VALID
1719958150843;2.762279;1.725833;(0.048170, 0.030082, 0.998386);VALID
1719958150848;2.536112;1.791325;(0.044227, 0.031229, 0.998533);VALID
1719958150853;2.503976;2.008939;(0.043662, 0.035022, 0.998432);VALID
1719958150858;2.486697;1.971154;(0.043362, 0.034364, 0.998468);VALID
1719958150863;2.464743;1.864379;(0.042982, 0.032504, 0.998547);VALID
1719958150868;2.886757;2.110834;(0.050328, 0.036786, 0.998055);VALID
1719958150873;2.815847;2.072968;(0.049094, 0.036129, 0.998141);VALID
1719958150878;3.021004;2.097783;(0.052667, 0.036554, 0.997943);VALID
1719958150883;3.378890;2.042996;(0.058901, 0.035588, 0.997629);VALID
1719958150888;4.024154;1.771903;(0.070144, 0.030844, 0.997060);VALID
1719958150893;3.311678;2.070738;(0.057730, 0.036073, 0.997680);VALID
1719958150898;2.666586;2.855382;(0.046466, 0.049761, 0.997680);VALID
1719958150903;3.792138;1.270782;(0.066121, 0.022129, 0.997566);VALID
1719958150908;3.822792;0.963651;(0.066661, 0.016781, 0.997635);VALID
1719958150913;3.151162;1.651478;(0.054948, 0.028776, 0.998075);VALID
1719958150918;2.890475;1.848146;(0.050401, 0.032210, 0.998210);VALID
1719958150923;3.460181;1.435238;(0.060336, 0.025001, 0.997865);VALID
1719958150928;3.160694;1.842329;(0.055108, 0.032100, 0.997964);VALID
1719958150933;3.820433;1.103908;(0.066617, 0.019223, 0.997593);VALID
1719958150938;3.190973;1.446531;(0.055647, 0.025205, 0.998132);VALID
1719958150943;3.153913;1.384168;(0.055002, 0.024119, 0.998195);VALID
1719958150948;3.117578;1.420459;(0.054368, 0.024752, 0.998214);VALID
1719958150953;2.998695;1.492310;(0.052296, 0.026007, 0.998293);VALID
1719958150958;3.010209;1.226353;(0.052502, 0.021373, 0.998392);VALID
1719958150963;3.164491;1.264823;(0.055189, 0.022040, 0.998233);VALID
1719958150968;3.246241;1.212260;(0.056615, 0.021122, 0.998173);VALID
1719958150973;3.332765;1.165526;(0.058123, 0.020306, 0.998103);VALID
1719958150978;3.292664;1.146883;(0.057425, 0.019983, 0.998150);VALID
1719958150983;3.179824;1.461741;(0.055452, 0.025470, 0.998137);VALID
1719958150988;3.265664;1.286197;(0.056951, 0.022410, 0.998125);VALID
1719958150993;3.029206;1.548515;(0.052826, 0.026986, 0.998239);VALID
1719958150998;4.042764;0.466995;(0.070499, 0.008130, 0.997479);VALID
1719958151003;4.856448;-0.425111;(0.084657, -0.007393, 0.996383);VALID
1719958151008;2.638778;1.909513;(0.046014, 0.033286, 0.998386);VALID
1719958151013;3.628818;0.762663;(0.063287, 0.013284, 0.997907);VALID
1719958151018;4.558722;-0.223782;(0.079480, -0.003893, 0.996829);VALID
1719958151023;4.505871;-0.181836;(0.078561, -0.003164, 0.996904);VALID
1719958151028;3.855282;0.488867;(0.067234, 0.008513, 0.997701);VALID
1719958151033;3.974202;0.198000;(0.069307, 0.003447, 0.997589);VALID
1719958151038;3.073242;1.329976;(0.053598, 0.023177, 0.998294);VALID
1719958151043;3.492515;0.818780;(0.060912, 0.014263, 0.998041);VALID
1719958151048;4.476575;-0.240526;(0.078051, -0.004185, 0.996941);VALID
1719958151053;4.369174;-0.092976;(0.076182, -0.001618, 0.997093);VALID
1719958151058;4.328716;-0.281617;(0.075478, -0.004901, 0.997136);VALID
1719958151063;4.376695;-0.315740;(0.076312, -0.005495, 0.997069);VALID
1719958151068;3.453773;0.913998;(0.060236, 0.015923, 0.998057);VALID
1719958151073;3.239032;1.108544;(0.056491, 0.019316, 0.998216);VALID
1719958151078;2.085105;2.445570;(0.036351, 0.042642, 0.998429);VALID
1719958151083;1.889907;2.516415;(0.032947, 0.043882, 0.998493);VALID
1719958151088;3.396698;0.795031;(0.059243, 0.013851, 0.998148);VALID
1719958151093;2.666704;1.129313;(0.046517, 0.019688, 0.998723);VALID
1719958151098;2.719734;1.040212;(0.047443, 0.018134, 0.998709);VALID
1719958151103;2.708789;1.167710;(0.047250, 0.020356, 0.998676);VALID
1719958151108;2.900887;0.764103;(0.050604, 0.013319, 0.998630);VALID
1719958151113;2.987466;0.903216;(0.052111, 0.015742, 0.998517);VALID
