CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720561631964;-11.146431;-0.006748;(-0.193317, -0.000116, 0.981136);VALID
1720561631969;-10.960810;0.332944;(-0.190134, 0.005705, 0.981742);VALID
1720561631974;-11.002551;0.326464;(-0.190850, 0.005593, 0.981603);VALID
1720561631979;-11.026286;0.326381;(-0.191256, 0.005591, 0.981524);VALID
1720561631984;-11.046328;0.305842;(-0.191600, 0.005239, 0.981459);VALID
1720561631989;-11.362469;-0.000554;(-0.197015, -0.000009, 0.980400);VALID
1720561631994;-11.076508;0.342402;(-0.192116, 0.005865, 0.981355);VALID
1720561631999;-10.996542;0.379742;(-0.190746, 0.006506, 0.981618);VALID
1720561632004;-11.045468;0.417541;(-0.191583, 0.007152, 0.981450);VALID
1720561632009;-11.083017;0.424167;(-0.192226, 0.007265, 0.981324);VALID
1720561632014;-11.197103;0.338890;(-0.194182, 0.005802, 0.980948);VALID
1720561632019;-11.343691;0.400870;(-0.196689, 0.006860, 0.980442);VALID
1720561632024;-11.384273;0.434466;(-0.197383, 0.007434, 0.980298);VALID
1720561632029;-11.591343;0.142021;(-0.200929, 0.002428, 0.979603);VALID
1720561632034;-11.449801;0.237505;(-0.198508, 0.004063, 0.980091);VALID
1720561632039;-11.451076;0.286413;(-0.198529, 0.004899, 0.980083);VALID
1720561632044;-11.565228;0.224453;(-0.200482, 0.003838, 0.979690);VALID
1720561632049;-11.412661;0.274369;(-0.197872, 0.004694, 0.980217);VALID
1720561632054;-11.449319;0.318431;(-0.198498, 0.005447, 0.980086);VALID
1720561632059;-11.510481;0.305062;(-0.199545, 0.005217, 0.979875);VALID
1720561632064;-11.560373;0.308663;(-0.200398, 0.005278, 0.979700);VALID
1720561632069;-11.619611;0.301145;(-0.201411, 0.005148, 0.979493);VALID
1720561632074;-11.452760;0.215394;(-0.198559, 0.003684, 0.980082);VALID
1720561632079;-12.083571;-0.323941;(-0.209335, -0.005529, 0.977828);VALID
1720561632084;-12.200876;-0.053252;(-0.211340, -0.000908, 0.977412);VALID
1720561632089;-12.065167;-0.342649;(-0.209021, -0.005848, 0.977894);VALID
1720561632094;-12.300795;-0.069538;(-0.213044, -0.001186, 0.977042);VALID
1720561632099;-12.162250;-0.307068;(-0.210678, -0.005239, 0.977542);VALID
1720561632104;-12.293072;-0.052452;(-0.212912, -0.000894, 0.977071);VALID
1720561632109;-12.166376;-0.318421;(-0.210748, -0.005433, 0.977525);VALID
1720561632114;-12.396974;-0.071079;(-0.214684, -0.001212, 0.976683);VALID
1720561632119;-12.255992;-0.328453;(-0.212277, -0.005602, 0.977194);VALID
1720561632124;-12.399536;-0.037165;(-0.214727, -0.000634, 0.976674);VALID
1720561632129;-12.381109;-0.386373;(-0.214409, -0.006587, 0.976722);VALID
1720561632134;-12.971407;-0.050462;(-0.224465, -0.000858, 0.974482);VALID
1720561632139;-10.713227;0.361305;(-0.185890, 0.006196, 0.982551);VALID
1720561632144;-8.942208;0.786811;(-0.155424, 0.013565, 0.987755);VALID
1720561632149;-7.740004;1.237761;(-0.134647, 0.021405, 0.990662);VALID
1720561632154;-8.253341;1.177089;(-0.143521, 0.020330, 0.989439);VALID
1720561632159;-8.423166;1.140314;(-0.146455, 0.019686, 0.989022);VALID
1720561632164;-8.348111;1.146733;(-0.145159, 0.019801, 0.989210);VALID
1720561632169;-8.208900;1.188337;(-0.142753, 0.020527, 0.989546);VALID
1720561632174;-8.063969;0.944624;(-0.140260, 0.016323, 0.989980);VALID
1720561632179;-7.954522;1.122994;(-0.138361, 0.019410, 0.990192);VALID
1720561632184;-7.796769;1.194465;(-0.135631, 0.020653, 0.990544);VALID
1720561632189;-7.673283;1.225647;(-0.133494, 0.021199, 0.990823);VALID
1720561632194;-7.606546;0.962432;(-0.132351, 0.016649, 0.991063);VALID
1720561632199;-7.590397;1.087065;(-0.132067, 0.018806, 0.991062);VALID
1720561632204;-7.518397;1.081809;(-0.130822, 0.018718, 0.991229);VALID
1720561632209;-7.477493;1.048140;(-0.130115, 0.018137, 0.991333);VALID
1720561632214;-7.421778;0.978177;(-0.129154, 0.016929, 0.991480);VALID
1720561632219;-7.346274;1.059971;(-0.127844, 0.018347, 0.991625);VALID
1720561632224;-7.286112;1.010342;(-0.126805, 0.017491, 0.991774);VALID
1720561632229;-7.211694;0.967321;(-0.125518, 0.016749, 0.991950);VALID
1720561632234;-7.119752;0.944267;(-0.123927, 0.016353, 0.992157);VALID
1720561632239;-7.108829;0.973950;(-0.123737, 0.016867, 0.992172);VALID
