CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720558966087;-1.768487;0.310382;(-0.030861, 0.005415, 0.999509);VALID
1720558966092;-2.051006;0.111997;(-0.035789, 0.001953, 0.999358);VALID
1720558966097;-1.793993;0.298855;(-0.031306, 0.005213, 0.999496);VALID
1720558966102;-1.951742;0.279921;(-0.034057, 0.004883, 0.999408);VALID
1720558966107;-1.488131;0.483324;(-0.025969, 0.008433, 0.999627);VALID
1720558966112;-1.832378;0.443094;(-0.031975, 0.007729, 0.999459);VALID
1720558966117;-1.825939;0.571140;(-0.031862, 0.009963, 0.999443);VALID
1720558966122;-1.827313;0.674888;(-0.031885, 0.011773, 0.999422);VALID
1720558966127;-1.557649;0.668238;(-0.027181, 0.011658, 0.999563);VALID
1720558966132;-1.621218;0.695659;(-0.028290, 0.012136, 0.999526);VALID
1720558966137;-2.002930;0.638105;(-0.034948, 0.011130, 0.999327);VALID
1720558966142;-1.615754;0.780857;(-0.028194, 0.013623, 0.999510);VALID
1720558966147;-1.577953;0.813126;(-0.027534, 0.014186, 0.999520);VALID
1720558966152;-1.580443;0.843613;(-0.027577, 0.014718, 0.999511);VALID
1720558966157;-1.632549;0.907600;(-0.028486, 0.015834, 0.999469);VALID
1720558966162;-1.665356;0.887991;(-0.029058, 0.015491, 0.999458);VALID
1720558966167;-1.667208;0.924349;(-0.029090, 0.016125, 0.999447);VALID
1720558966172;-2.192101;0.732472;(-0.038247, 0.012774, 0.999187);VALID
1720558966177;-1.786868;0.845450;(-0.031178, 0.014748, 0.999405);VALID
1720558966182;-2.219675;0.787941;(-0.038727, 0.013741, 0.999155);VALID
1720558966187;-1.801104;0.889805;(-0.031426, 0.015522, 0.999386);VALID
1720558966192;-1.822506;0.827363;(-0.031800, 0.014432, 0.999390);VALID
1720558966197;-1.867603;0.825146;(-0.032587, 0.014393, 0.999365);VALID
1720558966202;-1.902163;0.818370;(-0.033190, 0.014275, 0.999347);VALID
1720558966207;-2.492377;0.696764;(-0.043483, 0.012149, 0.998980);VALID
1720558966212;-2.402510;0.905017;(-0.041914, 0.015781, 0.998997);VALID
1720558966217;-2.132462;0.810235;(-0.037206, 0.014131, 0.999208);VALID
1720558966222;-2.203834;0.781860;(-0.038451, 0.013636, 0.999167);VALID
1720558966227;-2.178982;0.785420;(-0.038018, 0.013698, 0.999183);VALID
1720558966232;-2.804967;0.663025;(-0.048933, 0.011558, 0.998735);VALID
1720558966237;-2.289691;0.615012;(-0.039950, 0.010725, 0.999144);VALID
1720558966242;-2.282780;0.653130;(-0.039829, 0.011390, 0.999142);VALID
1720558966247;-2.253432;0.643785;(-0.039317, 0.011227, 0.999164);VALID
1720558966252;-2.233638;0.734969;(-0.038971, 0.012818, 0.999158);VALID
1720558966257;-2.214241;0.722148;(-0.038633, 0.012594, 0.999174);VALID
1720558966262;-2.241294;0.714019;(-0.039105, 0.012452, 0.999158);VALID
1720558966267;-2.251713;0.746584;(-0.039286, 0.013020, 0.999143);VALID
