CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720562732751;-8.262313;-0.501155;(-0.143700, -0.008656, 0.989583);VALID
1720562732756;-8.247248;-0.519174;(-0.143439, -0.008967, 0.989619);VALID
1720562732761;-8.271044;-0.525257;(-0.143850, -0.009072, 0.989558);VALID
1720562732766;-8.296738;-0.532165;(-0.144294, -0.009191, 0.989492);VALID
1720562732771;-8.389055;-0.491060;(-0.145889, -0.008479, 0.989265);VALID
1720562732776;-8.390062;-0.525425;(-0.145905, -0.009072, 0.989257);VALID
1720562732781;-8.382655;-0.548450;(-0.145777, -0.009470, 0.989272);VALID
1720562732786;-8.405732;-0.575356;(-0.146175, -0.009934, 0.989209);VALID
1720562732791;-8.424015;-0.582239;(-0.146490, -0.010052, 0.989161);VALID
1720562732796;-8.424819;-0.598984;(-0.146504, -0.010341, 0.989156);VALID
1720562732801;-8.443583;-0.607075;(-0.146827, -0.010480, 0.989107);VALID
1720562732806;-8.487704;-0.583423;(-0.147590, -0.010071, 0.988997);VALID
1720562732811;-8.556131;-0.635761;(-0.148769, -0.010972, 0.988811);VALID
1720562732816;-8.555724;-0.652530;(-0.148762, -0.011262, 0.988809);VALID
1720562732821;-8.484306;-0.699861;(-0.147528, -0.012081, 0.988984);VALID
1720562732826;-8.428347;-0.709474;(-0.146562, -0.012249, 0.989126);VALID
1720562732831;-8.608693;-0.707450;(-0.149674, -0.012208, 0.988660);VALID
1720562732836;-8.578463;-0.768991;(-0.149151, -0.013271, 0.988725);VALID
1720562732841;-8.525875;-0.868624;(-0.148239, -0.014992, 0.988838);VALID
1720562732846;-8.766539;-0.826231;(-0.152393, -0.014252, 0.988217);VALID
1720562732851;-8.779526;-0.891503;(-0.152615, -0.015377, 0.988166);VALID
1720562732856;-8.671835;-0.915044;(-0.150756, -0.015787, 0.988445);VALID
1720562732861;-8.593053;-0.897666;(-0.149398, -0.015491, 0.988656);VALID
1720562732866;-8.559350;-0.855254;(-0.148818, -0.014760, 0.988755);VALID
1720562732871;-8.709785;-0.823647;(-0.151414, -0.014209, 0.988368);VALID
1720562732876;-8.702578;-0.801391;(-0.151291, -0.013825, 0.988393);VALID
1720562732881;-8.596894;-0.872356;(-0.149465, -0.015054, 0.988653);VALID
1720562732886;-8.530147;-0.891202;(-0.148312, -0.015382, 0.988821);VALID
1720562732891;-8.690442;-0.860868;(-0.151079, -0.014852, 0.988410);VALID
1720562732896;-8.681038;-0.884044;(-0.150916, -0.015252, 0.988429);VALID
1720562732901;-8.686128;-0.897156;(-0.151003, -0.015478, 0.988412);VALID
1720562732906;-8.691314;-0.944691;(-0.151091, -0.016298, 0.988386);VALID
1720562732911;-8.680941;-0.953273;(-0.150912, -0.016446, 0.988411);VALID
1720562732916;-8.628292;-0.956151;(-0.150003, -0.016498, 0.988548);VALID
1720562732921;-8.529895;-0.983539;(-0.148304, -0.016975, 0.988796);VALID
1720562732926;-8.502420;-0.963388;(-0.147831, -0.016629, 0.988873);VALID
1720562732931;-8.655051;-0.966220;(-0.150464, -0.016671, 0.988475);VALID
1720562732936;-8.654784;-1.009232;(-0.150458, -0.017413, 0.988463);VALID
1720562732941;-8.646387;-1.043313;(-0.150311, -0.018001, 0.988475);VALID
1720562732946;-8.615480;-0.978692;(-0.149781, -0.016888, 0.988575);VALID
1720562732951;-8.539522;-0.997686;(-0.148470, -0.017219, 0.988767);VALID
1720562732956;-8.521916;-1.033656;(-0.148164, -0.017841, 0.988802);VALID
1720562732961;-8.685568;-0.968980;(-0.150991, -0.016717, 0.988394);VALID
1720562732966;-8.698459;-0.981914;(-0.151213, -0.016940, 0.988356);VALID
1720562732971;-8.692032;-0.956847;(-0.151103, -0.016508, 0.988380);VALID
1720562732976;-8.746826;-0.911630;(-0.152050, -0.015725, 0.988248);VALID
1720562732981;-8.737903;-0.888358;(-0.151897, -0.015324, 0.988278);VALID
1720562732986;-8.721767;-0.886860;(-0.151619, -0.015299, 0.988321);VALID
1720562732991;-8.652221;-0.897501;(-0.150418, -0.015485, 0.988501);VALID
1720562732996;-8.750617;-0.784757;(-0.152120, -0.013537, 0.988269);VALID
1720562733001;-8.760367;-0.801671;(-0.152288, -0.013828, 0.988240);VALID
1720562733006;-8.664682;-0.838274;(-0.150636, -0.014463, 0.988484);VALID
1720562733011;-8.776957;-0.976121;(-0.152567, -0.016836, 0.988150);VALID
1720562733016;-8.908941;-0.888630;(-0.154846, -0.015322, 0.987820);VALID
1720562733021;-8.840100;-0.936688;(-0.153657, -0.016153, 0.987992);VALID
1720562733026;-8.807514;-0.956502;(-0.153095, -0.016497, 0.988074);VALID
1720562733031;-8.788436;-0.915447;(-0.152767, -0.015789, 0.988136);VALID
