CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720559742133;-6.176081;1.248048;(-0.107559, 0.021654, 0.993963);VALID
1720559742138;-6.257794;1.204026;(-0.108978, 0.020888, 0.993825);VALID
1720559742143;-6.152637;1.308897;(-0.107150, 0.022711, 0.993983);VALID
1720559742148;-6.154199;1.272471;(-0.107179, 0.022079, 0.993995);VALID
1720559742153;-6.003461;1.800452;(-0.104538, 0.031246, 0.994030);VALID
1720559742158;-5.966690;1.857000;(-0.103896, 0.032230, 0.994066);VALID
1720559742163;-6.102299;1.899778;(-0.106246, 0.032964, 0.993793);VALID
1720559742168;-6.061310;1.924886;(-0.105534, 0.033402, 0.993855);VALID
1720559742173;-6.002048;1.976548;(-0.104503, 0.034302, 0.993933);VALID
1720559742178;-5.955140;1.892146;(-0.103694, 0.032840, 0.994067);VALID
1720559742183;-5.966511;1.887520;(-0.103891, 0.032759, 0.994049);VALID
1720559742188;-5.937209;1.866766;(-0.103384, 0.032401, 0.994114);VALID
1720559742193;-5.873293;1.861034;(-0.102276, 0.032305, 0.994231);VALID
1720559742198;-5.909576;1.915870;(-0.102902, 0.033255, 0.994136);VALID
1720559742203;-5.946452;2.032760;(-0.103535, 0.035280, 0.994000);VALID
1720559742208;-5.993168;1.936111;(-0.104351, 0.033601, 0.993973);VALID
1720559742213;-6.457400;1.144451;(-0.112442, 0.019846, 0.993460);VALID
1720559742218;-5.915797;1.068824;(-0.103049, 0.018554, 0.994503);VALID
1720559742223;-5.770428;1.314940;(-0.100517, 0.022832, 0.994673);VALID
1720559742228;-5.746554;1.485126;(-0.100095, 0.025787, 0.994644);VALID
1720559742233;-5.692537;1.692893;(-0.099147, 0.029397, 0.994638);VALID
1720559742238;-6.038834;1.451422;(-0.105169, 0.025189, 0.994135);VALID
1720559742243;-6.071036;1.409785;(-0.105730, 0.024465, 0.994094);VALID
1720559742248;-5.875741;1.641612;(-0.102330, 0.028497, 0.994342);VALID
1720559742253;-5.726761;1.878963;(-0.099731, 0.032625, 0.994479);VALID
1720559742258;-5.673448;1.941522;(-0.098802, 0.033714, 0.994536);VALID
1720559742263;-5.993937;1.445864;(-0.104390, 0.025095, 0.994220);VALID
