CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720561159861;2.951471;3.552452;(0.051391, 0.061880, 0.996760);VALID
1720561159866;3.052077;3.595466;(0.053139, 0.062623, 0.996622);VALID
1720561159871;3.141998;3.635764;(0.054701, 0.063319, 0.996493);VALID
1720561159876;3.176117;3.666842;(0.055292, 0.063857, 0.996426);VALID
1720561159881;2.999873;3.259972;(0.052249, 0.056789, 0.997018);VALID
1720561159886;3.299724;3.272226;(0.057466, 0.056986, 0.996720);VALID
1720561159892;3.294034;3.534730;(0.057351, 0.061552, 0.996455);VALID
1720561159897;3.369627;3.617402;(0.058660, 0.062985, 0.996289);VALID
1720561159902;3.516192;3.627149;(0.061208, 0.063145, 0.996126);VALID
1720561159907;3.677227;3.509462;(0.064016, 0.061088, 0.996077);VALID
1720561159912;3.832114;3.465415;(0.066711, 0.060311, 0.995948);VALID
1720561159917;3.840730;3.477556;(0.066860, 0.060522, 0.995925);VALID
1720561159921;3.975816;3.468132;(0.069209, 0.060348, 0.995775);VALID
1720561159926;3.801492;3.055932;(0.066206, 0.053194, 0.996387);VALID
1720561159931;3.918806;2.931142;(0.068254, 0.051017, 0.996363);VALID
1720561159936;4.115143;2.967495;(0.071665, 0.051636, 0.996091);VALID
1720561159942;4.227747;2.906039;(0.073627, 0.050561, 0.996003);VALID
1720561159947;4.165696;2.873272;(0.072550, 0.049995, 0.996111);VALID
1720561159952;4.037226;3.144472;(0.070299, 0.054718, 0.996024);VALID
1720561159957;4.140031;3.148041;(0.072086, 0.054773, 0.995893);VALID
1720561159962;4.431378;3.506762;(0.077121, 0.060984, 0.995155);VALID
1720561159967;4.652685;3.450435;(0.080969, 0.059987, 0.994910);VALID
1720561159972;4.735798;3.721909;(0.082388, 0.064693, 0.994498);VALID
1720561159977;4.826833;3.443230;(0.083994, 0.059847, 0.994668);VALID
1720561159982;4.588718;3.077496;(0.079888, 0.053515, 0.995366);VALID
1720561159987;4.671279;3.080108;(0.081322, 0.053554, 0.995248);VALID
1720561159992;4.682812;3.056716;(0.081524, 0.053147, 0.995253);VALID
1720561159997;4.823149;2.992526;(0.083967, 0.052021, 0.995110);VALID
1720561160002;4.820234;3.214815;(0.083898, 0.055882, 0.994906);VALID
1720561160007;4.904428;3.215020;(0.085360, 0.055879, 0.994782);VALID
1720561160012;5.051820;3.044163;(0.087933, 0.052900, 0.994721);VALID
1720561160017;5.155259;3.008010;(0.089732, 0.052264, 0.994594);VALID
1720561160022;5.124985;3.206710;(0.089190, 0.055715, 0.994455);VALID
1720561160027;5.393204;2.996987;(0.093863, 0.052053, 0.994224);VALID
1720561160032;5.561157;3.428993;(0.096736, 0.059531, 0.993528);VALID
1720561160037;5.255702;3.103085;(0.091468, 0.053906, 0.994348);VALID
1720561160042;5.588776;3.415301;(0.097217, 0.059291, 0.993496);VALID
1720561160047;5.615515;3.841175;(0.097635, 0.066671, 0.992987);VALID
1720561160052;5.529672;3.486093;(0.096185, 0.060524, 0.993522);VALID
1720561160057;5.794362;3.676362;(0.100753, 0.063794, 0.992864);VALID
1720561160062;5.621346;3.120358;(0.097810, 0.054173, 0.993730);VALID
1720561160067;5.716576;3.285072;(0.099446, 0.057020, 0.993408);VALID
1720561160072;5.933003;3.015271;(0.103224, 0.052321, 0.993281);VALID
1720561160077;5.992825;3.190696;(0.104244, 0.055356, 0.993010);VALID
1720561160082;6.006069;3.307987;(0.104461, 0.057388, 0.992872);VALID
1720561160087;5.974551;3.473231;(0.103898, 0.060254, 0.992761);VALID
1720561160092;6.228285;3.005176;(0.108343, 0.052118, 0.992747);VALID
1720561160097;6.126198;3.279336;(0.106546, 0.056878, 0.992680);VALID
1720561160102;6.436048;2.882775;(0.111954, 0.049977, 0.992456);VALID
1720561160107;6.288599;3.268620;(0.109361, 0.056675, 0.992385);VALID
1720561160112;6.412822;3.274596;(0.111511, 0.056765, 0.992141);VALID
1720561160117;6.428388;3.293312;(0.111779, 0.057087, 0.992092);VALID
1720561160122;6.446615;3.312194;(0.112092, 0.057412, 0.992038);VALID
1720561160127;6.525157;3.364791;(0.113446, 0.058314, 0.991831);VALID
1720561160132;6.849500;3.745082;(0.119011, 0.064853, 0.990773);VALID
